Date,Price,Open,High,Low,Vol.,Change %
05/27/1997,1137.02,1128.92,1137.02,1126.98,,0.73%
05/26/1997,1128.8,1127.91,1128.8,1119.51,,0.10%
05/23/1997,1127.68,1115.87,1127.68,1115.87,,1.23%
05/22/1997,1113.95,1100,1113.95,1100,,1.46%
05/20/1997,1097.97,1092.01,1097.97,1090.71,,0.68%
05/19/1997,1090.54,1079.51,1090.54,1079.51,,1.04%
05/16/1997,1079.29,1070.17,1079.29,1070.17,,0.86%
05/15/1997,1070.06,1069.05,1070.06,1061.48,,0.10%
05/14/1997,1068.94,1077.15,1077.15,1068.06,,-0.72%
05/13/1997,1076.7,1084.8,1084.8,1076.21,,-0.76%
05/12/1997,1084.92,1086.15,1086.61,1078.33,,-0.10%
05/09/1997,1086.04,1081.43,1086.04,1076.99,,0.44%
05/08/1997,1081.31,1074.34,1081.31,1072.64,,0.65%
05/07/1997,1074.34,1077.49,1077.49,1068.95,,-0.25%
05/06/1997,1077.04,1073.77,1077.04,1072.53,,0.31%
05/05/1997,1073.66,1076.7,1076.7,1069.4,,-0.11%
05/02/1997,1074.79,1069.95,1074.79,1066.16,,0.46%
04/30/1997,1069.84,1065.9,1069.84,1062.7,,0.38%
04/29/1997,1065.79,1054.19,1065.79,1051.76,,1.11%
04/28/1997,1054.08,1054.3,1054.3,1045.52,,-0.04%
04/25/1997,1054.53,1062.29,1062.29,1053.44,,-0.67%
04/24/1997,1061.62,1062.29,1062.7,1058.02,,-0.05%
04/23/1997,1062.18,1056.44,1062.18,1056.44,,0.59%
04/22/1997,1056,1049.69,1056,1047.53,,0.61%
04/21/1997,1049.58,1057.79,1057.79,1049.58,,-0.75%
04/18/1997,1057.46,1051.38,1057.46,1048.87,,0.60%
04/17/1997,1051.16,1062.07,1062.07,1051.16,,-1.02%
04/16/1997,1061.96,1045.75,1061.96,1042.29,,1.60%
04/15/1997,1045.19,1055.09,1055.09,1045.19,,-0.93%
04/14/1997,1054.98,1070.62,1070.62,1051.31,,-0.99%
04/11/1997,1065.56,1076.7,1076.7,1065.56,,-1.09%
04/10/1997,1077.26,1062.29,1077.26,1062.29,,1.42%
04/09/1997,1062.18,1058.58,1062.18,1056.46,,0.54%
04/08/1997,1056.45,1050.59,1056.45,1048.53,,0.57%
04/07/1997,1050.48,1022,1050.48,1022,,0.48%
04/04/1997,1045.42,1055.54,1055.54,1045.42,,-0.84%
04/03/1997,1054.31,1032.81,1054.31,1032.81,,2.09%
04/02/1997,1032.7,1023.02,1032.7,1023.02,,0.96%
04/01/1997,1022.91,1023.35,1024.36,1017.06,,-0.03%
03/31/1997,1023.25,1030.11,1030.11,1021.97,,-0.80%
03/27/1997,1031.46,1024.82,1031.46,1024.82,,1.01%
03/26/1997,1021.11,1020.77,1021.11,1013.83,,-0.02%
03/25/1997,1021.34,1020.77,1022.78,1016.17,,0.07%
03/24/1997,1020.66,1017.05,1020.66,1017.05,,0.36%
03/21/1997,1016.95,1005.01,1016.95,1005.01,,1.24%
03/20/1997,1004.46,1009.29,1009.29,1002,,-0.47%
03/19/1997,1009.18,1018.07,1018.07,1008.8,,-0.86%
03/18/1997,1017.96,1031.91,1031.91,1017.96,,-1.34%
03/17/1997,1031.8,1045.41,1045.41,1031.8,,-1.29%
03/14/1997,1045.3,1040.69,1045.3,1038.6,,0.45%
03/13/1997,1040.58,1052.17,1052.17,1039.92,,-1.09%
03/12/1997,1052.06,1057.91,1057.91,1052.06,,-0.54%
03/11/1997,1057.8,1054.75,1057.8,1053.89,,0.30%
03/10/1997,1054.64,1053.74,1054.64,1049.98,,0.14%
03/07/1997,1053.18,1036.3,1053.18,1036.3,,1.64%
03/06/1997,1036.19,1027.74,1036.19,1027.74,,0.84%
03/05/1997,1027.52,1028.08,1028.08,1021.53,,-0.04%
03/04/1997,1027.97,1031.57,1031.57,1027.97,,-0.34%
